codigo_material_recibido,cantidad_actual
EAX67860914-2512130015,100
EAX67860914-2512130014,100
EAX67860914-2512130013,100
EAX67860914-2512130012,100
EAX67860914-2512130011,100
EAX67860914-2512130010,100
EAX67860914-2512130009,100
EAX67860914-2512130008,100
EAX67860914-2512130007,100
EAX67860914-2512130006,100
EAX67860914-2512130005,100
EAX67860914-2512130004,100
EAX67860914-2512130003,100
EAX67860914-2512130002,100
EAX67860914-2512130001,100
EAX67860914-2510100006,100
EAX67860914-2509020043,100
EAX67860914-2509020041,100
EAX67860914-2509020044,100
EAX67860914-2509260032,100
EAX67860914-2509260022,100
EAX67860914-2509260016,100
EAX67860914-2509260014,100
EAX67860914-2509260005,100
EAX67860914-2509110010,100
EAX67860914-2509110009,100
EAX67860914-2509110005,100
EAX67860914-2509110001,100
EAX67860914-2508250036,100
EAX67860914-2508250033,100
EAX67860914-2508250032,100
EAX67860914-2508250030,100
EAX67860914-2508250029,100
EAX67860914-2508250028,100
EAX67860914-2508250027,100
EAX67860914-2508250026,100
EAX67860914-2508250011,100
EAX67860914-2508250007,100
EAX67860914-2508180018,100
EAX67860914-2508180017,100
EAX67860914-2508180016,100
EAX67860914-2508180015,100
EAX67860914-2508180014,100
EAX67860914-2508180013,100
EAX67860914-2508180011,100
EAX67860914-2508180010,100
EAX67860914-2508180005,100
EAX67860914-2508180004,100
EAX67860914-2508180003,100
EAX67860914-2508180002,100
EAX67860914-2508180001,100
EAX67860914-2508080018,100
EAX67860914-2508080011,100
EAX67860914-2508080002,100
EAX67860914-2507290010,100
EAX67860914-2507290005,100
EAX67860914-2507290002,100
EAX67860914-2507250021,100
EAX67860914-2507250020,100
EAX67860914-2507250017,100
EAX67860914-2507250015,100
EAX67860914-2507250014,100
EAX67860914-2507250012,100
EAX67860914-2507250011,100
EAX67860914-2507250009,100
EAX67860914-2507250008,100
EAX67860914-2507250007,100
EAX67860914-2507250004,100
EAX67860914-2507250003,100
EAX67860914-2507250002,100
EAX67860914-2507250001,100
EAX67860914-2507070015,100
EAX67860914-2506250005,100
EAX67860914-2505290009,100
EAX67860914-2505290008,100
EAX67860914-2505290003,100
EAX67860914-2505220005,100
EAX67860914-2505220004,100
EAX67860914-2505220003,100
EAX67860914-2504030014,100
EAX67860914-2504030012,100
EAX67860914-2504030011,100
EAX67860914-2504030010,100
EAX67860914-2504030007,100
EAX67860914-2504030006,100
EAX67860914-2503250008,100
EAX67860914-2503250007,100
EAX67860914-2503250006,100
EAX67860914-2503250005,100
EAX67860914-2503250004,100
EAX67860914-2503250003,100
EAX67860914-2503250002,100
EAX67860914-2503250001,100
EAX67860914-2403050001,100
EAX67860914-2403050002,100
EAX67860914-2403050038,100
EAX67860914-2403050025,100
EAX69003501-2512150008,150
EAX69003501-2510100002,300
EAX69003501-2512150006,200
EAX69003501-2512150005,200
EAX69003501-2512150004,200
EAX69003501-2512150003,200
EAX69003501-2512150002,200
EAX69003501-2512150001,200
EAX69003501-2512110019,200
EAX69003501-2512110018,200
EAX69003501-2512110017,200
